commit_id,commit_date,repo,label
c5759e7b76f5bf844be6c6641cc1b356bbc83869,1442591230.0,01org___opa-fm,0
a351091921c8b7d73a7193eaa56933f16c5dfb7f,1488402035.0,01org___tpm2.0-tools,1
c5d72beaab1cbbbe68271f4bc4b6670d69985157,1498065350.0,01org___tpm2.0-tools,0
3a849c0c4e42a613f12485a7c5572cea89ab5e19,1356177647.0,10gen-archive___mongo-c-driver-legacy,1
1a1f5e26a4309480d88598913f9eebf9e9cba8ca,1357594202.0,10gen-archive___mongo-c-driver-legacy,0
0ff832d31470471803b175cfff4e40c1b08ee779,1515096476.0,aawc___unrar,0
6c573e7f33380e60b583294e9ec5d68ae351c3cf,1511293034.0,aawc___unrar,1
dec3089ff88fe7ada77058dca6ed3ad88c18ee16,1448286773.0,abrt___abrt,1
50ee8130fb4cd4ef1af7682a2c85dd99cb99424e,1448286773.0,abrt___abrt,0
1d66c8a345b7650ce9994efe6bf07e53000442b0,1433335754.0,abrt___abrt,1
96b638672430b84b0739028c84aa233768fc4b28,1358412833.0,abrt___abrt,1
8939398b82006ba1fec4ed491339fc075f43fc7c,1430726057.0,abrt___abrt,0
2f948bdc09aa346616852a421ce1af2e03b39997,1430222676.0,abrt___abrt,1
4f2c1ddd3e3b81d2d5146b883115371f1cada9f9,1430222563.0,abrt___abrt,0
d6e2f6f128cef4c21cb80941ae674c9842681aa7,1430222563.0,abrt___abrt,0
da7e73871082aa09d2fcddb8c87a432a31003302,1326453130.0,abrt___abrt,1
3c1b60cfa62d39e5fff5a53a5bc53dae189e740e,1448286773.0,abrt___abrt,0
80408e9e24a1c10f85fd969e1853e0f192157f92,1430222315.0,abrt___abrt,1
257578a23d1537a2d235aaa2b1488ee4f818e360,1444635269.0,abrt___libreport,0
4b683ff098f65057e31b7f8203717896dc331d2d,1349791838.0,abrt___libreport,1
4c587457266cafb5d293d58963ec3c288fa4be2b,1616950276.0,academysoftwarefoundation___openexr,1
8b5370c688a7362673c3a5256d93695617a4cd9a,1564042530.0,academysoftwarefoundation___openexr,0
11cad77da87c4fa2aab7d58dd5339e254db7937e,1638479195.0,academysoftwarefoundation___openexr,0
e08946ade358313859a03fa367f647ef223a192c,1248833939.0,academysoftwarefoundation___openexr,1
25e9515b06a6bc293d871622b8cafaee7af84e0f,1600757577.0,academysoftwarefoundation___openexr,0
700e4996ce619743d5bebe07b4158ccc4547e9ad,1562904236.0,academysoftwarefoundation___openexr,1
6bb36714528a9563dd3b92720c5063a1284b86f8,1564045602.0,academysoftwarefoundation___openexr,0
f28015671a4b04785859d1b4b1327b367b6a10e9,1532420923.0,acassen___keepalived,0
04f2d32871bb3b11d7dc024039952f2fe2750306,1541030053.0,acassen___keepalived,0
3f148920318c8eb169d88b800c64272bd1518880,1481391445.0,accel-ppp___accel-ppp,1
2324bcd5ba12cf28f47357a8f03cd41b7c04c52b,1599341915.0,accel-ppp___accel-ppp,0
e9d369aa0054312b7633e964e9f7eb323f1f3d69,1603273226.0,accel-ppp___accel-ppp,0
faf5bf8a0f40119273b94d8c80bafaaabb3d185e,1512475420.0,accel-ppp___accel-ppp,1
236795a5ecf7f43ee6dc972933b87ccc96c9343a,1259431219.0,adaptivecomputing___torque,1
3ed749263abe3d69fa3626d142a5789dcb5a5684,1377294789.0,adaptivecomputing___torque,0
6328a070ddaab16faaf008cb9a8a62439c30f2a8,1582732196.0,adrienverge___openfortivpn,0
ba14a06fa619e19aff6dc5cca1226aab006acb5b,1521312250.0,adrienverge___openfortivpn,1
da087238963c1239fdabd47dc1b65279605aca70,1412301482.0,aircrack-ng___aircrack-ng,0
091b153f294b9b695b0b2831e65936438b550d7b,1412301230.0,aircrack-ng___aircrack-ng,0
ff70494dd389ba570dbdbf36f217c28d4381c6b5,1412301081.0,aircrack-ng___aircrack-ng,0
88702a3ce4c28a973bf69023cd0312f412f6193e,1412301634.0,aircrack-ng___aircrack-ng,0
5edc5fe7222eff748da00e1abf6d982c388a7bdc,1351566152.0,aircrack-ng___aircrack-ng,1
64ce0ad3731ebd77e02897b07920eadd0e2cc318,1462263726.0,akheron___jansson,0
59bc1f42e45aa9bfd255c6002b0659e26c16e23f,1363130137.0,akheron___jansson,1
8f80c2d83808150724d31793e6ade92749b1faa4,1392100890.0,akheron___jansson,0
49fc708d4c5aeebad570f59a588f7520a4c62f78,1305457069.0,akheron___jansson,1
a9224bc2fe79ddf66ed94631e1382fe820627a42,1218631008.0,alandekok___freeradius-server,1
c8fea2f60c18ed30bdd1bb6f798e994e51a58260,1505584866.0,akrennmair___newsbeuter,0
aaa3d370e4a38b6c70e506e067471c33d2d0e55d,1479915560.0,akrennmair___newsbeuter,1
2bde7085bf87bd1571a00c5b2d395b972965c84b,1264690317.0,akrennmair___newsbeuter,1
26f5a4350f3ab5507bb8727051c87bb04660f333,1505584906.0,akrennmair___newsbeuter,0
96e9506ae9e252c548665152d1b8968297128307,1502993208.0,akrennmair___newsbeuter,0
f1fdab152c136c6d2496a07855e18cb09821b9fc,1476816476.0,akrennmair___newsbeuter,1
fc85be7123050b91b054e45b91c78d3241a5047a,1572855484.0,alanxz___rabbitmq-c,0
31738a5b370fcbe92b25d3c68f3ba6dc668bb7fd,1506129763.0,albertodemichelis___squirrel,1
a6413aa690e0bdfef648c68693349a7b878fe60d,1651485898.0,albertodemichelis___squirrel,0
23a0620658714b996d20da3d4dd1a0dcf9b0bd98,1631803013.0,albertodemichelis___squirrel,0
ee58aff6918b8bbc3be29b9e3089485ea46ff956,1523308894.0,andrerenaud___pdfgen,0
0a4972714daa4c2d85c577f900e30ea57f3c9ee9,1523220171.0,andrerenaud___pdfgen,1
4b73f58f32914d0081d79a79e53a3215c8c1ea56,1646980868.0,ambiot___amb1_sdk,0
7f5aa4f35e23fd37425b3a5041737cdf58f87385,1336413021.0,android___platform_bionic,0
9c7fe7be6f2766e3230a60e1c5be63ebcee86528,1347519427.0,antlarr___audiofile,1
7d65f89defb092b63bcbc5d98349fb222ca73b3c,1488805077.0,antlarr___audiofile,0
82cab8d5b36df0cbdad504b0a68602264c4ff9a3,1341550001.0,antlarr___audiofile,1
9ecbc8009d23267f677dd5a1631f2dd3c4e51a95,1302981205.0,antlarr___audiofile,1
a2e9eab8ea87c4ffc494d839ebb4ea145eb9f2e6,1488823166.0,antlarr___audiofile,0
2b0b06c144c49f647ddf1db74010f5a7b8cc34dd,1341182176.0,antlarr___audiofile,1
beacc44eb8cdf6d58717ec1a5103c5141f1b37f9,1488805071.0,antlarr___audiofile,0
e45a29099ffe0e59a7272b5d9c324439e5cd4723,1360444393.0,antlarr___audiofile,1
25eb00ce913452c2e614548d7df93070bf0d066f,1488819995.0,antlarr___audiofile,0
c48e4c6503f7dabd41f11d4c9c7b7f8960e7f2c0,1488805052.0,antlarr___audiofile,0
e592f106edd5acf6dacedfab2ad16fe6c735c9d1,1586855741.0,antonkueltz___fastecdsa,0
18fb5e416066ea46fe9ad81e475184fff88cdbcf,1488849163.0,antonkueltz___fastecdsa,1
060d534faddcdff0442fd5fd83fba41ee9b9655b,1583261629.0,aomediacodec___libavif,1
0a8e7244d494ae98e9756355dfbfb6697ded2ff9,1597094769.0,aomediacodec___libavif,0
be0f5335e3e73eb63253b050fdc23f252f5c8ae3,1425522796.0,apache___httpd,0
5929a20fe0e5289e67746a4f15e3b6b8259f56ef,1379249270.0,apache___httpd,1
a6027e56924bb6227c1fdbf6f91e7e2438338be6,1433880751.0,apache___httpd,0
00cdb469d7104b486a9c2c9be0e045c744dc8a46,1287857209.0,apache___httpd,1
78eb3b9235515652ed141353d98c239237030410,1423061063.0,apache___httpd,0
761ef9ee176aef1a236f7f747ee9360acdcadeaf,1141141764.0,apache___httpd,1
0a431ef862d309e2157ada8da485fb227cadd0dd,1426008317.0,apache___httpd,1
6b830a1640ca20528032c89a4fdd8291a4d2d8b2,1545935511.0,appneta___tcpreplay,0
68f67b1a3a4d319543692afb5bd5b191ec984287,1539889192.0,appneta___tcpreplay,1
96daa4036a425ff3f23a7dfcba57bfb0f942bec6,1583938229.0,ardour___ardour,0
c9e5903e731acaf60ae2e2c654f90fbea5f1a261,1235335954.0,ardour___ardour,1
31458a18788b0cf0b722acda9bb2f2fe13a3fb32,1499335121.0,armmbed___mbedtls,0
d9b7f019d2435f107b19a59190bf9cc27d5f34dd,1639477441.0,arangodb___arangodb,0
75b3b2e21fd4a6a43e7a544fea40231b8e5faf76,1584044415.0,arangodb___arangodb,1
e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3,1625132174.0,arangodb___arangodb,0
87580d767868360d2fed503980129504da84b63e,1457280299.0,atheme___atheme,0
7759002d4f84301541e8b6e5eb4c7a20d559d98d,1314770242.0,atheme___atheme,1
f4f636c1b7667bdc8d939bc1c59a4030da8e81cb,1414898806.0,atheme___atheme,1
c597156adc60a45b5f827793cd420945f47bc03b,1457274780.0,atheme___atheme,0
7ecbfda92b4c8dbf6f6c2bf8fc82020a29219eff,1559121625.0,artifexsoftware___ghostpdl,1
fcd7df5eab40983ca8044c4bb00405f984d877db,1455091937.0,antirez___redis,1
fdf9d455098f54f7666c702ae464e6ea21e25411,1433331208.0,antirez___redis,0
ef6a4df29c17e3c79a1e9b328fe3e2d1f2a9df39,1467724720.0,antirez___redis,1
5ccb6f7a791bf3490357b00a898885759d98bab0,1528886433.0,antirez___redis,0
1eb08bcd4634ae42ec45e8284923ac048beaa4c3,1528886433.0,antirez___redis,1
52a00201fca331217c3b4b8b634f6a0f57d6b7d3,1528886433.0,antirez___redis,0
9fdcc15962f9ff4baebe6fdd947816f43f730d50,1528886447.0,antirez___redis,0
6d9f8e2462fc2c426d48c941edeb78e5df7d2977,1474872472.0,antirez___redis,0
e89086e09a38cc6713bcd4b9c29abf92cf393936,1528886433.0,antirez___redis,0
36b392a0b2528ad22f016e9ca8fce93eb6dab3a0,1528126083.0,antirez___redis,1
